tweet_id	tweet_text	timestamp	user_location	sentiment	matched_product
1	Creating sales reports using AdventureWorks sample data.	2024-06-03 19:55:00	Yogyakarta	positive	Touring Bike
2	AdventureWorks made fact and dimension tables easy to grasp.	2024-06-01 18:14:00	Jakarta	neutral	Helmet
3	AdventureWorks has customer and region mapping for BI.	2024-06-02 13:49:00	Singapore	negative	Helmet
4	Running Python ETL pipelines with AdventureWorks.	2024-06-02 09:32:00	Yogyakarta	negative	Road Tire
5	Using AdventureWorks to simulate customer behavior analysis.	2024-06-04 14:12:00	Yogyakarta	negative	Touring Bike
6	AdventureWorks enables great examples in data warehousing.	2024-06-04 20:40:00	Bandung	neutral	Road Tire
7	AdventureWorks is a great dataset for testing SQL queries!	2024-06-02 03:47:00	Bandung	negative	
8	AdventureWorks enables great examples in data warehousing.	2024-06-05 22:33:00	Medan	positive	Helmet
9	Just completed my Power BI dashboard using AdventureWorks.	2024-06-02 22:44:00	Surabaya	positive	Touring Bike
10	Just completed my Power BI dashboard using AdventureWorks.	2024-06-01 23:07:00	Surabaya	neutral	
11	Just completed my Power BI dashboard using AdventureWorks.	2024-06-02 20:21:00	Singapore	negative	Mountain Bike
12	Using AdventureWorks to simulate customer behavior analysis.	2024-06-04 23:54:00	Singapore	positive	
13	AdventureWorks + Tableau = Perfect combination for beginners.	2024-06-03 07:10:00	Bandung	neutral	Helmet
14	AdventureWorks is great for learning data transformation.	2024-06-01 13:45:00	Yogyakarta	positive	Bike Frame
15	Using AdventureWorks to simulate customer behavior analysis.	2024-06-02 01:45:00	Singapore	neutral	Road Tire
16	AdventureWorks is useful for sales analytics simulation.	2024-06-04 08:28:00	Surabaya	positive	
17	Using AdventureWorks to simulate customer behavior analysis.	2024-06-04 06:20:00	Surabaya	neutral	Helmet
18	Exploring KPIs from AdventureWorks for dashboards.	2024-06-03 04:43:00	Singapore	neutral	
19	ETL pipelines run smoothly using AdventureWorks structure.	2024-06-01 15:50:00	Yogyakarta	neutral	Road Tire
20	AdventureWorks helps me understand data modeling concepts.	2024-06-03 05:56:00	Surabaya	positive	Mountain Bike
21	AdventureWorks is a great dataset for testing SQL queries!	2024-06-02 18:32:00	Surabaya	negative	
22	Using AdventureWorks to simulate customer behavior analysis.	2024-06-02 21:58:00	Jakarta	neutral	Bike Frame
23	I prefer AdventureWorks for teaching relational databases.	2024-06-04 05:44:00	Medan	negative	Touring Bike
24	Just completed my Power BI dashboard using AdventureWorks.	2024-06-01 04:23:00	Medan	positive	Helmet
25	Using AdventureWorks to simulate customer behavior analysis.	2024-06-05 21:21:00	Yogyakarta	negative	Touring Bike
26	AdventureWorks + Tableau = Perfect combination for beginners.	2024-06-03 12:39:00	Jakarta	neutral	Helmet
27	Learning joins with the AdventureWorks database is fun.	2024-06-02 21:12:00	Jakarta	positive	Touring Bike
28	I prefer AdventureWorks for teaching relational databases.	2024-06-04 21:10:00	Bandung	neutral	
29	Exploring KPIs from AdventureWorks for dashboards.	2024-06-01 04:05:00	Bandung	neutral	Helmet
30	AdventureWorks made fact and dimension tables easy to grasp.	2024-06-01 14:52:00	Singapore	neutral	Bike Frame
31	Using AdventureWorks to simulate customer behavior analysis.	2024-06-02 16:56:00	Yogyakarta	negative	Road Tire
32	AdventureWorks is useful for sales analytics simulation.	2024-06-02 03:23:00	Singapore	positive	Road Tire
33	AdventureWorks has comprehensive business-related tables.	2024-06-03 05:36:00	Jakarta	neutral	Mountain Bike
34	I prefer AdventureWorks for teaching relational databases.	2024-06-05 06:03:00	Yogyakarta	positive	Bike Frame
35	AdventureWorks is useful for sales analytics simulation.	2024-06-04 22:12:00	Yogyakarta	neutral	
36	AdventureWorks enables great examples in data warehousing.	2024-06-03 17:02:00	Singapore	positive	Touring Bike
37	AdventureWorks helps me understand data modeling concepts.	2024-06-02 17:23:00	Yogyakarta	negative	Bike Frame
38	Using AdventureWorks to simulate customer behavior analysis.	2024-06-01 16:48:00	Surabaya	neutral	
39	AdventureWorks has customer and region mapping for BI.	2024-06-03 07:01:00	Surabaya	negative	Mountain Bike
40	AdventureWorks has customer and region mapping for BI.	2024-06-02 19:56:00	Jakarta	positive	
41	Running Python ETL pipelines with AdventureWorks.	2024-06-03 21:28:00	Medan	neutral	Bike Frame
42	AdventureWorks has comprehensive business-related tables.	2024-06-01 20:51:00	Surabaya	negative	Road Tire
43	AdventureWorks has comprehensive business-related tables.	2024-06-04 08:31:00	Surabaya	neutral	Road Tire
44	ETL pipelines run smoothly using AdventureWorks structure.	2024-06-02 08:44:00	Jakarta	negative	Mountain Bike
