timestamp,sensor_id,temperature_c
2025-01-01 10:00:00,sensor_1,28.1
2025-01-01 11:00:00,sensor_2,28.6
2025-01-01 12:00:00,sensor_3,29.0
2025-01-01 13:00:00,sensor_4,29.5
2025-01-01 14:00:00,sensor_5,30.1
2025-01-02 00:00:00,sensor_6,23.5
2025-01-02 01:00:00,sensor_7,31.0
2025-01-02 02:00:00,sensor_8,30.4
2025-01-02 03:00:00,sensor_9,25.1
2025-01-02 04:00:00,sensor_10,25.3
2025-01-02 05:00:00,sensor_11,25.6
2025-01-02 06:00:00,sensor_12,27.9
2025-01-02 07:00:00,sensor_13,30.1
2025-01-02 08:00:00,sensor_14,29.7
2025-01-02 09:00:00,sensor_15,24.7
2025-01-02 10:00:00,sensor_16,30.2
2025-01-02 11:00:00,sensor_17,29.3
2025-01-02 12:00:00,sensor_18,28.3
2025-01-02 13:00:00,sensor_19,28.5
2025-01-02 14:00:00,sensor_20,24.9
2025-01-02 15:00:00,sensor_21,26.8
2025-01-02 16:00:00,sensor_22,30.0
2025-01-02 17:00:00,sensor_23,27.8
2025-01-02 18:00:00,sensor_24,30.9
2025-01-02 19:00:00,sensor_25,27.3
2025-01-02 20:00:00,sensor_26,23.2
2025-01-02 21:00:00,sensor_27,22.2
2025-01-02 22:00:00,sensor_28,27.2
2025-01-02 23:00:00,sensor_29,24.4
2025-01-03 00:00:00,sensor_30,25.6
2025-01-03 01:00:00,sensor_31,28.6
2025-01-03 02:00:00,sensor_32,24.6
2025-01-03 03:00:00,sensor_33,27.5
2025-01-03 04:00:00,sensor_34,24.7
2025-01-03 05:00:00,sensor_35,26.8
2025-01-03 06:00:00,sensor_36,30.1
2025-01-03 07:00:00,sensor_37,25.3
2025-01-03 08:00:00,sensor_38,27.4
2025-01-03 09:00:00,sensor_39,24.3
2025-01-03 10:00:00,sensor_40,24.1
2025-01-03 11:00:00,sensor_41,29.8
2025-01-03 12:00:00,sensor_42,28.3
2025-01-03 13:00:00,sensor_43,22.3
2025-01-03 14:00:00,sensor_44,30.1
2025-01-03 15:00:00,sensor_45,24.3
2025-01-03 16:00:00,sensor_46,21.7
2025-01-03 17:00:00,sensor_47,25.9
2025-01-03 18:00:00,sensor_48,23.7
2025-01-03 19:00:00,sensor_49,27.3
2025-01-03 20:00:00,sensor_50,22.7
2025-01-03 21:00:00,sensor_51,21.8
2025-01-03 22:00:00,sensor_52,26.2
2025-01-03 23:00:00,sensor_53,22.8
2025-01-04 00:00:00,sensor_54,23.2
2025-01-04 01:00:00,sensor_55,22.0
2025-01-04 02:00:00,sensor_56,29.5
2025-01-04 03:00:00,sensor_57,27.3
2025-01-04 04:00:00,sensor_58,29.4
2025-01-04 05:00:00,sensor_59,22.4
2025-01-04 06:00:00,sensor_60,28.5
2025-01-04 07:00:00,sensor_61,29.3
2025-01-04 08:00:00,sensor_62,30.6
2025-01-04 09:00:00,sensor_63,22.4
2025-01-04 10:00:00,sensor_64,30.2
2025-01-04 11:00:00,sensor_65,30.0
2025-01-04 12:00:00,sensor_66,27.9
2025-01-04 13:00:00,sensor_67,29.4
2025-01-04 14:00:00,sensor_68,22.8
2025-01-04 15:00:00,sensor_69,29.3
